0	3.883901
1	3.796899
2	4.421497
3	4.466919
4	4.732172
5	4.514958
6	4.979960
7	5.046219
8	4.664937
9	4.789689
10	4.499169
11	4.357936
12	4.286613
13	4.443541
14	4.061861
15	4.240345
16	4.816607
17	5.024744
18	4.922333
19	5.134937
20	5.323291
21	5.209461
22	5.421401
23	5.373554
24	5.631054
25	4.683314
26	4.319038
27	5.576379
28	5.978926
29	6.209389
30	6.515880
31	6.980359
32	7.707139
33	7.182466
34	7.336626
35	7.762149
36	7.032469
37	6.655578
38	7.309029
39	7.858365
40	7.557754
41	6.520861
42	6.820656
43	8.299007
44	9.609795
45	9.910476
46	9.180945
47	10.065328
48	10.868876
49	10.686035
50	11.294816
51	10.887044
52	10.763534
53	10.488725
54	10.397032
55	11.206245
56	11.196411
57	12.759119
58	12.825210
59	13.234003
60	13.021269
61	12.954287
62	13.356835
63	13.124740
64	12.985782
65	13.316523
66	14.471009
67	14.234926
68	14.655375
69	15.664275
70	16.697151
71	16.201666
72	16.171513
73	15.700543
74	16.066988
75	16.524788
76	16.308218
77	16.675449
78	17.263075
79	17.830782
80	17.961246
81	17.706795
82	18.335066
83	18.389753
84	19.004314
85	19.524334
86	18.305573
87	19.111507
88	19.301680
89	19.443113
90	20.033617
91	19.660931
92	20.280199
93	19.992512
94	20.550371
95	21.495340
96	21.745945
97	22.906242
98	23.218660
99	23.854925
100	24.056770
